Wavelength (nm),Absorption Coefficient,Intensity Ratio at 1m
200,0.9248931081287396,0.3965738073258307
201,0.7590662686500832,0.4681033057460568
202,0.7152277734471192,0.48908069951158595
203,0.6713892782441552,0.5109981657863077
204,0.627550783041191,0.533897832602542
205,0.5843091140207106,0.5574908914315474
206,0.5538280021772228,0.5747454670575183
207,0.523346890333735,0.5925340789962044
208,0.4928657784902472,0.6108732558942369
209,0.4623846666467594,0.6297800379667552
210,0.43061288409938053,0.6501105301920661
211,0.39845153155598034,0.6713588195207401
212,0.3662901790125802,0.6933015904466613
213,0.2648679771927472,0.767307245345615
214,0.25003156076912625,0.7787762039075657
215,0.2351951443455053,0.790416589249719
216,0.2206816444460922,0.8019719518794343
217,0.20758647072370448,0.8125429775559323
218,0.19449129700131673,0.8232533429981059
219,0.181396123278929,0.834104884883955
220,0.17768358017361036,0.8372072905674941
221,0.1760748397339966,0.8385552237387615
222,0.17446609929438284,0.8399053271298234
223,0.17285735885476908,0.84125760423481
224,0.17124861841515535,0.8426120585534773
225,0.1696398779755416,0.8439686935912158
226,0.16803113753592783,0.84532751285906
227,0.16642239709631407,0.846688519873697
228,0.16481365665670034,0.848051718157476
229,0.16320491621708658,0.8494171112384176
230,0.16159617577747282,0.8507847026502222
231,0.15998743533785906,0.8521544959322798
232,0.1583786948982453,0.8535264946296789
233,0.15676995445863157,0.8549007022932158
234,0.1551612140190178,0.8562771224794036
235,0.15355247357940405,0.8576557587504816
236,0.1519437331397903,0.8590366146744243
237,0.15033499270017656,0.8604196938249509
238,0.1487262522605628,0.8618049997815344
239,0.14711751182094904,0.8631925361294108
240,0.14562828868813754,0.8644789800855796
241,0.144187780275155,0.8657251666848864
242,0.14274727186217248,0.8669731497200537
243,0.14130676344918996,0.8682229317807268
244,0.13986625503620745,0.869474515460285
245,0.1384257466232249,0.8707279033558452
246,0.1369852382102424,0.8719830980682687
247,0.13554472979725987,0.8732401022021659
248,0.13410422138427736,0.8744989183659019
249,0.1326637129712948,0.8757595491716019
250,0.1312232045583123,0.8770219972351565
251,0.12978269614532978,0.8782862651762274
252,0.12834218773234726,0.8795523556182525
253,0.12690167931936472,0.8808202711884515
254,0.1254611709063822,0.8820900145178316
255,0.12402066249339969,0.8833615882411924
256,0.12258015408041716,0.8846349949971319
257,0.12113964566743464,0.8859102374280516
258,0.11969913725445211,0.8871873181801625
259,0.11829692497247554,0.8884322157354732
260,0.11694283520815232,0.8896360475693362
261,0.1155887454438291,0.8908415106037102
262,0.11423465567950589,0.8920486070488832
263,0.11288056591518267,0.8932573391181382
264,0.11152647615085944,0.8944677090277571
265,0.11017238638653622,0.895679718997025
266,0.108818296622213,0.8968933712482343
267,0.10746420685788978,0.8981086680066883
268,0.10611011709356655,0.8993256115007058
269,0.10475602732924333,0.9005442039616249
270,0.10340193756492011,0.9017644476238074
271,0.10204784780059689,0.9029863447246423
272,0.10069375803627366,0.9042098975045506
273,0.09933966827195044,0.9054351082069889
274,0.09796350520893168,0.9066819923200122
275,0.09654346626743018,0.9079704306564581
276,0.0951234273259287,0.9092606999252053
277,0.0937033883844272,0.910552802728096
278,0.09228334944292571,0.9118467416706697
279,0.09086331050142421,0.9131425193621682
280,0.08944327155992272,0.9144401384155416
281,0.08802323261842122,0.9157396014474528
282,0.08660319367691974,0.9170409110782832
283,0.08518315473541824,0.9183440699321379
284,0.08376311579391675,0.9196490806368511
285,0.08234307685241525,0.9209559458239911
286,0.08092303791091375,0.9222646681288658
287,0.07950299896941226,0.9235752501905279
288,0.07808296002791076,0.9248876946517807
289,0.07666292108640928,0.9262020041591827
290,0.07544102592026684,0.9273344176153065
291,0.07459796971646503,0.9281165422902816
292,0.07375491351266321,0.9288993266183393
293,0.07291185730886139,0.9296827711558386
294,0.07206880110505957,0.9304668764596081
295,0.07122574490125776,0.9312516430869457
296,0.07038268869745594,0.9320370715956194
297,0.06953963249365412,0.9328231625438675
298,0.0686965762898523,0.9336099164903996
299,0.06785352008605049,0.934397333994396
300,0.06701046388224867,0.9351854156155086
301,0.06616740767844685,0.935974161913862
302,0.06532435147464503,0.9367635734500523
303,0.06448129527084322,0.9375536507851492
304,0.0636382390670414,0.9383443944806951
305,0.06279518286323958,0.9391358050987061
306,0.06195212665943777,0.9399278832016725
307,0.061109070455635954,0.940720629352559
308,0.06026601425183414,0.9415140441148049
309,0.05970143400285204,0.942045754430699
310,0.05919356984669274,0.9425243072124528
311,0.05868570569053343,0.9430031030957374
312,0.05817784153437412,0.9434821422040466
313,0.05766997737821481,0.9439614246609371
314,0.057162113222055506,0.9444409505900283
315,0.056654249065896195,0.9449207201150024
316,0.05614638490973689,0.9454007333596044
317,0.05563852075357758,0.9458809904476423
318,0.055130656597418275,0.9463614915029868
319,0.05462279244125896,0.9468422366495717
320,0.05411492828509966,0.9473232260113935
321,0.05360706412894035,0.9478044597125121
322,0.05309919997278104,0.9482859378770502
323,0.05259133581662173,0.9487676606291933
324,0.05208347166046243,0.9492496280931904
325,0.051575607504303116,0.9497318403933532
326,0.05106774334814381,0.9502142976540572
327,0.0505598791919845,0.9506969999997404
328,0.050052015035825195,0.9511799475549043
329,0.049544150879665884,0.9516631404441138
330,0.049155935099222205,0.9520326628154677
331,0.04892128332880051,0.9522560851774979
332,0.048686631558378816,0.9524795599721323
333,0.048451979787957115,0.9527030872116758
334,0.04821732801753542,0.9529266669084362
335,0.04798267624711372,0.9531502990747241
336,0.047748024476692026,0.953373983722853
337,0.047513372706270325,0.9535977208651392
338,0.04727872093584863,0.9538215105139021
339,0.04704406916542693,0.9540453526814638
340,0.046809417395005236,0.9542692473801495
341,0.046574765624583535,0.9544931946222871
342,0.04634011385416184,0.9547171944202074
343,0.04610546208374015,0.9549412467862443
344,0.045870810313318446,0.9551653517327343
345,0.04563615854289675,0.955389509272017
346,0.04540150677247505,0.9556137194164349
347,0.045166855002053356,0.9558379821783333
348,0.044932203231631655,0.9560622975700603
349,0.04469755146120996,0.9562866656039674
350,0.04446289969078826,0.9565110862924081
351,0.044228247920366566,0.9567355596477398
352,0.043993596149944865,0.956960085682322
353,0.043686975901506775,0.957253554010906
354,0.04332380727402326,0.957601261604693
355,0.04296063864653974,0.9579490954979022
356,0.04259747001905623,0.95829705573641
357,0.042234301391572714,0.9586451423661092
358,0.04187113276408919,0.9589933554329096
359,0.04150796413660568,0.9593416949827376
360,0.04114479550912216,0.9596901610615359
361,0.040781626881638645,0.9600387537152646
362,0.040418458254155125,0.9603874729898997
363,0.04005528962667161,0.9607363189314345
364,0.0396921209991881,0.9610852915858789
365,0.03932895237170458,0.9614343909992592
366,0.038965783744221064,0.9617836172176187
367,0.03860261511673754,0.9621329702870174
368,0.03823944648925403,0.962482450253532
369,0.037876277861770516,0.9628320571632558
370,0.037513109234286995,0.9631817910622991
371,0.03714994060680348,0.9635316519967886
372,0.036860943332408545,0.9638101502586899
373,0.03658144019561618,0.9640795758698573
374,0.03630193705882383,0.9643490767968531
375,0.036022433922031465,0.9646186530607314
376,0.03574293078523911,0.9648883046825518
377,0.035463427648446746,0.9651580316833802
378,0.03518392451165439,0.9654278340842883
379,0.03490442137486203,0.9656977119063535
380,0.03462491823806967,0.9659676651706591
381,0.03434541510127731,0.9662376938982946
382,0.034065911964484955,0.966507798110355
383,0.03378640882769259,0.9667779778279415
384,0.033506905690900236,0.967048233072161
385,0.033227402554107874,0.9673185638641265
386,0.03294789941731551,0.9675889702249567
387,0.032668396280523156,0.9678594521757762
388,0.03238889314373079,0.9681300097377157
389,0.03210939000693844,0.9684006429319116
390,0.031829886870146075,0.9686713517795066
391,0.03155038373335372,0.9689421363016486
392,0.03127088059656136,0.9692129965194921
393,0.031003897779394263,0.9694717942814784
394,0.030786693231156147,0.9696823908350216
395,0.030569488682918033,0.9698930331360621
396,0.030352284134679917,0.9701037211945377
397,0.0301350795864418,0.9703144550203882
398,0.029917875038203683,0.9705252346235553
399,0.029700670489965567,0.9707360600139834
400,0.029483465941727453,0.9709469312016187
401,0.029266261393489337,0.9711578481964096
402,0.02904905684525122,0.9713688110083067
403,0.028831852297013103,0.9715798196472628
404,0.02861464774877499,0.971790874123233
405,0.028397443200536873,0.972001974446174
406,0.028180238652298756,0.9722131206260453
407,0.02796303410406064,0.9724243126728083
408,0.027745829555822527,0.9726355505964266
409,0.02752862500758441,0.9728468344068658
410,0.027311420459346293,0.973058164114094
411,0.027094215911108176,0.9732695397280812
412,0.026877011362870063,0.9734809612587996
413,0.026659806814631946,0.9736924287162235
414,0.026418772928729548,0.9739271498727307
415,0.026140333240794855,0.97419836760155
416,0.02586189355286016,0.9744696608586636
417,0.025583453864925467,0.9747410296651046
418,0.02530501417699077,0.9750124740419117
419,0.025026574489056076,0.9752839940101298
